"id","state","name"
"CA1SK000159","Montana","SK RADVILLE"
"JQW00021601","Hawaii","UM JOHNSTON ISLAND"
"JQW00021602","Hawaii","UM JOHNSTON ISLAND NAS"
"JQW00021603","Hawaii","UM JOHNSTON ISLAND"
"JQW00021604","Hawaii","UM JOHNSTON IS AF FLT C"
"MQC00914490","Hawaii","UM MIDWAY SAND ISLAND"
"MQW00022701","Hawaii","UM MIDWAY HENDERSON FLD AP"
"MXN00005187","Texas","REPRESA LA AMISTAD"
"MXN00008006","Texas","BANDERAS"
"MXN00008023","Texas","CORRALES U.G.R.CH."
"MXN00008052","Texas","EL MULATO"
"MXN00008098","Texas","MAIJOMA"
"MXN00008100","Texas","MANUEL BENAVIDES"
"MXN00008121","Texas","SAMALAYUCA"
"MXN00008290","Texas","SAMALAYUCA D. B. (CILA)"
"MXN00008309","New Mexico","RANCHO LOS CERRITOS"
"MXN00026095","Arizona","SASABE"
"MXN00026130","Arizona","NACO (FFCC)"
"MXN00028093","Texas","S.J."
"MXN00028103","Texas","S.J."
"MXN00028128","Texas","REYNOSA (DGE)"
"MXN00028131","Texas","MATAMOROS"
"RQC00666270","Florida","PR MONTE BELLO MANATI"
"US009052008","South Dakota","SD SIOUX FALLS (ENVIRON. CANADA)"
"US10RMHS145","Colorado","CO RMHS"
"US10adam001","Nebraska","NE JUNIATA"
"US10adam002","Nebraska","NE JUNIATA"
"US10adam003","Nebraska","NE HOLSTEIN"
"US10adam004","Nebraska","NE AYR"
"US10adam006","Nebraska","NE ROSELAND"
"US10adam007","Nebraska","NE HASTINGS"
"US10adam008","Nebraska","NE GLENVIL"
"US10adam010","Nebraska","NE JUNIATA"
"US10adam011","Nebraska","NE ROSELAND"
"US10adam012","Nebraska","NE HASTINGS"
"US10adam013","Nebraska","NE HASTINGS"
"US10adam015","Nebraska","NE KENESAW"
"US10adam016","Nebraska","NE HASTINGS"
"US10adam017","Nebraska","NE JUNIATA"
"US10adam019","Nebraska","NE JUNIATA"
"US10adam022","Nebraska","NE HASTINGS"
"US10adam023","Nebraska","NE JUNIATA"
"US10adam024","Nebraska","NE BLUE HILL"
"US10adam025","Nebraska","NE HASTINGS"
"US10adam027","Nebraska","NE JUNIATA"
"US10adam028","Nebraska","NE HOLSTEIN"
"US10adam029","Nebraska","NE HASTINGS"
"US10adam032","Nebraska","NE BLUE HILL"
"US10adam033","Nebraska","NE GLENVIL"
"US10adam034","Nebraska","NE KENESAW"
"US10adam035","Nebraska","NE JUNIATA"
"US10adam036","Nebraska","NE HASTINGS"
"US10adam039","Nebraska","NE HASTINGS"
"US10adam041","Nebraska","NE AYR"
"US10adam043","Nebraska","NE JUNIATA"
"US10adam045","Nebraska","NE HASTINGS"
"US10adam046","Nebraska","NE HASTINGS"
"US10adam047","Nebraska","NE HASTINGS"
"US10adam051","Nebraska","NE ROSELAND"
"US10adam053","Nebraska","NE HASTINGS"
"US10adam054","Nebraska","NE HASTINGS"
